Date,vixo,vixh,vixl,vix,vxd
02JAN1986,,,,,
03JAN1986,,,,,
06JAN1986,,,,,
07JAN1986,,,,,
08JAN1986,,,,,
09JAN1986,,,,,
10JAN1986,,,,,
13JAN1986,,,,,
14JAN1986,,,,,
15JAN1986,,,,,
16JAN1986,,,,,
17JAN1986,,,,,
20JAN1986,,,,,
21JAN1986,,,,,
22JAN1986,,,,,
23JAN1986,,,,,
24JAN1986,,,,,
27JAN1986,,,,,
28JAN1986,,,,,
29JAN1986,,,,,
30JAN1986,,,,,
31JAN1986,,,,,
03FEB1986,,,,,
04FEB1986,,,,,
05FEB1986,,,,,
06FEB1986,,,,,
07FEB1986,,,,,
10FEB1986,,,,,
11FEB1986,,,,,
12FEB1986,,,,,
13FEB1986,,,,,
14FEB1986,,,,,
18FEB1986,,,,,
19FEB1986,,,,,
20FEB1986,,,,,
21FEB1986,,,,,
24FEB1986,,,,,
25FEB1986,,,,,
26FEB1986,,,,,
27FEB1986,,,,,
28FEB1986,,,,,
03MAR1986,,,,,
04MAR1986,,,,,
05MAR1986,,,,,
06MAR1986,,,,,
07MAR1986,,,,,
10MAR1986,,,,,
11MAR1986,,,,,
12MAR1986,,,,,
13MAR1986,,,,,
14MAR1986,,,,,
17MAR1986,,,,,
18MAR1986,,,,,
19MAR1986,,,,,
20MAR1986,,,,,
21MAR1986,,,,,
24MAR1986,,,,,
25MAR1986,,,,,
26MAR1986,,,,,
27MAR1986,,,,,
31MAR1986,,,,,
01APR1986,,,,,
02APR1986,,,,,
03APR1986,,,,,
04APR1986,,,,,
07APR1986,,,,,
08APR1986,,,,,
09APR1986,,,,,
10APR1986,,,,,
11APR1986,,,,,
14APR1986,,,,,
15APR1986,,,,,
16APR1986,,,,,
17APR1986,,,,,
18APR1986,,,,,
21APR1986,,,,,
22APR1986,,,,,
23APR1986,,,,,
24APR1986,,,,,
25APR1986,,,,,
28APR1986,,,,,
29APR1986,,,,,
30APR1986,,,,,
01MAY1986,,,,,
02MAY1986,,,,,
05MAY1986,,,,,
06MAY1986,,,,,
07MAY1986,,,,,
08MAY1986,,,,,
09MAY1986,,,,,
12MAY1986,,,,,
13MAY1986,,,,,
14MAY1986,,,,,
16MAY1986,,,,,
19MAY1986,,,,,
20MAY1986,,,,,
21MAY1986,,,,,
22MAY1986,,,,,
23MAY1986,,,,,
27MAY1986,,,,,
28MAY1986,,,,,
29MAY1986,,,,,
30MAY1986,,,,,
02JUN1986,,,,,
03JUN1986,,,,,
04JUN1986,,,,,
05JUN1986,,,,,
06JUN1986,,,,,
09JUN1986,,,,,
10JUN1986,,,,,
11JUN1986,,,,,
12JUN1986,,,,,
13JUN1986,,,,,
16JUN1986,,,,,
17JUN1986,,,,,
18JUN1986,,,,,
19JUN1986,,,,,
20JUN1986,,,,,
23JUN1986,,,,,
24JUN1986,,,,,
25JUN1986,,,,,
26JUN1986,,,,,
27JUN1986,,,,,
30JUN1986,,,,,
01JUL1986,,,,,
02JUL1986,,,,,
03JUL1986,,,,,
07JUL1986,,,,,
08JUL1986,,,,,
09JUL1986,,,,,
10JUL1986,,,,,
11JUL1986,,,,,
14JUL1986,,,,,
15JUL1986,,,,,
16JUL1986,,,,,
17JUL1986,,,,,
18JUL1986,,,,,
21JUL1986,,,,,
22JUL1986,,,,,
23JUL1986,,,,,
24JUL1986,,,,,
25JUL1986,,,,,
28JUL1986,,,,,
29JUL1986,,,,,
30JUL1986,,,,,
31JUL1986,,,,,
01AUG1986,,,,,
04AUG1986,,,,,
05AUG1986,,,,,
06AUG1986,,,,,
07AUG1986,,,,,
